"Season Code","Event Code","Level","Section","Seat Status Code","Seat Count"
"PLL25","PLL0718","GA","GA4","c","40"
"PLL25","PLL0719A","GA","GA4","C","2"
"PLL25","PLL0719A","GA","GA5","c","40"
"PLL25","PLL0719B","GA","GA5","c","40"
"PLL25","PLL0719A","CLUB","GA0","H","50"
"PLL25","PLL0719A","CLUB","GA1","H","50"
"PLL25","PLL0719A","CLUB","GA2","H","50"
"PLL25","PLL0719A","CLUB","GA3","H","50"
"PLL25","PLL0719A","CLUB","GA4","H","50"
"PLL25","PLL0719A","CLUB","GA5","H","50"
"PLL25","PLL0719B","CLUB","GA0","H","50"
"PLL25","PLL0719B","CLUB","GA1","H","50"
"PLL25","PLL0719B","CLUB","GA2","H","50"
"PLL25","PLL0719B","CLUB","GA3","H","50"
"PLL25","PLL0719B","CLUB","GA4","H","50"
"PLL25","PLL0719B","CLUB","GA5","H","50"
"PLL25","PLL0718","CLUB","GA0","K","50"
"PLL25","PLL0718","CLUB","GA1","K","50"
"PLL25","PLL0718","CLUB","GA2","K","50"
"PLL25","PLL0718","CLUB","GA3","K","50"
"PLL25","PLL0718","CLUB","GA4","K","50"
"PLL25","PLL0718","CLUB","GA5","K","50"
"PLL25","PLL0718","PRES","PRES1","K","4"
"PLL25","PLL0719A","GA","GA7","K","12"
"PLL25","PLL0719A","PRES","PRES1","K","4"
"PLL25","PLL0719B","GA","GA7","K","12"
"PLL25","PLL0719B","PRES","PRES1","K","4"
"PLL25","PLL0718","GA","GA5","O","126"
"PLL25","PLL0718","GA","GA7","O","9"
"PLL25","PLL0718","SUITE","STAD2","O","20"
"PLL25","PLL0719A","GA","GA3","O","36"
"PLL25","PLL0719A","GA","GA4","O","20"
"PLL25","PLL0719A","GA","GA5","O","1"
"PLL25","PLL0719A","GA","GA6","O","179"
"PLL25","PLL0719A","GA","GA7","O","103"
"PLL25","PLL0719B","FIELD","FIELD1","O","3"
"PLL25","PLL0719B","FIELD","FIELD2","O","5"
"PLL25","PLL0719B","GA","GA1","O","46"
"PLL25","PLL0719B","GA","GA2","O","113"
"PLL25","PLL0719B","GA","GA3","O","500"
"PLL25","PLL0719B","GA","GA4","O","481"
"PLL25","PLL0719B","GA","GA5","O","255"
"PLL25","PLL0719B","GA","GA6","O","480"
"PLL25","PLL0719B","GA","GA7","O","103"
"PLL25","PLL0719B","SUITE","FIELD1","O","20"
"PLL25","PLL0719B","SUITE","FIELD2","O","20"
"PLL25","PLL0719B","SUITE","STAD2","O","18"
"PLL25","PLL0719A","GA","GA5","P","50"
"PLL25","PLL0719B","GA","GA5","P","50"
"PLL25","PLL0718","FIELD","FIELD1","X","30"
"PLL25","PLL0718","FIELD","FIELD2","X","30"
"PLL25","PLL0718","GA","GA0","X","500"
"PLL25","PLL0718","GA","GA1","X","500"
"PLL25","PLL0718","GA","GA2","X","500"
"PLL25","PLL0718","GA","GA3","X","500"
"PLL25","PLL0718","GA","GA4","X","460"
"PLL25","PLL0718","GA","GA5","X","374"
"PLL25","PLL0718","GA","GA6","X","500"
"PLL25","PLL0718","GA","GA7","X","111"
"PLL25","PLL0718","PRES","PRES","X","12"
"PLL25","PLL0718","PRES","PRES1","X","6"
"PLL25","PLL0718","SUITE","FIELD1","X","20"
"PLL25","PLL0718","SUITE","FIELD2","X","20"
"PLL25","PLL0718","SUITE","STAD1","X","20"
"PLL25","PLL0718","SUITE","TER1","X","20"
"PLL25","PLL0718","SUITE","TER2","X","20"
"PLL25","PLL0719A","FIELD","FIELD1","X","30"
"PLL25","PLL0719A","FIELD","FIELD2","X","30"
"PLL25","PLL0719A","GA","GA0","X","500"
"PLL25","PLL0719A","GA","GA1","X","500"
"PLL25","PLL0719A","GA","GA2","X","500"
"PLL25","PLL0719A","GA","GA3","X","464"
"PLL25","PLL0719A","GA","GA4","X","478"
"PLL25","PLL0719A","GA","GA5","X","409"
"PLL25","PLL0719A","GA","GA6","X","321"
"PLL25","PLL0719A","GA","GA7","X","5"
"PLL25","PLL0719A","PRES","PRES","X","12"
"PLL25","PLL0719A","PRES","PRES1","X","6"
"PLL25","PLL0719A","SUITE","FIELD1","X","20"
"PLL25","PLL0719A","SUITE","FIELD2","X","20"
"PLL25","PLL0719A","SUITE","STAD1","X","20"
"PLL25","PLL0719A","SUITE","STAD2","X","20"
"PLL25","PLL0719A","SUITE","TER1","X","20"
"PLL25","PLL0719A","SUITE","TER2","X","20"
"PLL25","PLL0719B","FIELD","FIELD1","X","27"
"PLL25","PLL0719B","FIELD","FIELD2","X","25"
"PLL25","PLL0719B","GA","GA0","X","500"
"PLL25","PLL0719B","GA","GA1","X","454"
"PLL25","PLL0719B","GA","GA2","X","387"
"PLL25","PLL0719B","GA","GA4","X","19"
"PLL25","PLL0719B","GA","GA5","X","155"
"PLL25","PLL0719B","GA","GA6","X","20"
"PLL25","PLL0719B","GA","GA7","X","5"
"PLL25","PLL0719B","PRES","PRES","X","12"
"PLL25","PLL0719B","PRES","PRES1","X","6"
"PLL25","PLL0719B","SUITE","STAD1","X","20"
"PLL25","PLL0719B","SUITE","STAD2","X","2"
"PLL25","PLL0719B","SUITE","TER1","X","20"
"PLL25","PLL0719B","SUITE","TER2","X","20"
