ticket_type,ticket_type_name,ticket_type_desc,inet_ticket_type_name,inet_ticket_type_desc,active,protected,host_ticket_type,host_qual_id,host_qual_name,ticket_type_category,class_id,sort_seq,upd_user,upd_datetime,comp_ind,comp_code,default_host_offer_id,default_host_seat_mask,orig_lbd_ticket_type,fantm_message_code,ms_seq_id
_5A,,,,,N,N,N-TYPE,75,_X7A,,,1113,tm46,7/2/2007 14:37:43:386,N,,0,_5A,,,197
_5B,,,,,N,N,N-TYPE,76,_X7B,,,1114,tm46,7/2/2007 14:37:43:386,N,,0,_5B,,,198
_5C,,,,,N,N,N-TYPE,77,_X7C,,,1115,tm46,7/2/2007 14:37:43:386,N,,0,_5C,,,199
_5D,,,,,N,N,N-TYPE,78,_X7D,,,1116,tm46,7/2/2007 14:37:43:386,N,,0,_5D,,,200
_5E,,,,,N,N,N-TYPE,79,_X7E,,,1117,tm46,7/2/2007 14:37:43:386,N,,0,_5E,,,201
_5F,,,,,N,N,N-TYPE,80,_X7F,,,1118,tm46,7/2/2007 14:37:43:386,N,,0,_5F,,,202
_5G,,,,,N,N,N-TYPE,81,_X7G,,,1119,tm46,7/2/2007 14:37:43:386,N,,0,_5G,,,203
_5H,,,,,N,N,N-TYPE,82,_X7H,,,1120,tm46,7/2/2007 14:37:43:386,N,,0,_5H,,,204
_5I,,,,,N,N,N-TYPE,83,_X7I,,,1121,tm46,7/2/2007 14:37:43:386,N,,0,_5I,,,205
_5J,,,,,N,N,N-TYPE,84,_X7J,,,1122,tm46,7/2/2007 14:37:43:386,N,,0,_5J,,,206
_5K,,,,,N,N,N-TYPE,85,_X7K,,,1123,tm46,7/2/2007 14:37:43:386,N,,0,_5K,,,207
_5L,,,,,N,N,N-TYPE,86,_X7L,,,1124,tm46,7/2/2007 14:37:43:386,N,,0,_5L,,,208
_5M,,,,,N,N,N-TYPE,87,_X7M,,,1125,tm46,7/2/2007 14:37:43:386,N,,0,_5M,,,209
_5N,,,,,N,N,N-TYPE,88,_X7N,,,1126,tm46,7/2/2007 14:37:43:402,N,,0,_5N,,,210
_5O,,,,,N,N,N-TYPE,89,_X7O,,,1127,tm46,7/2/2007 14:37:43:402,N,,0,_5O,,,211
_5P,,,,,N,N,N-TYPE,90,_X7P,,,1128,tm46,7/2/2007 14:37:43:402,N,,0,_5P,,,212
_5Q,,,,,N,N,N-TYPE,91,_X7Q,,,1129,tm46,7/2/2007 14:37:43:402,N,,0,_5Q,,,213
_5R,,,,,N,N,N-TYPE,92,_X7R,,,1130,tm46,7/2/2007 14:37:43:402,N,,0,_5R,,,214
_5S,,,,,N,N,N-TYPE,93,_X7S,,,1131,tm46,7/2/2007 14:37:43:402,N,,0,_5S,,,215
_5T,,,,,N,N,N-TYPE,94,_X7T,,,1132,tm46,7/2/2007 14:37:43:402,N,,0,_5T,,,216
_5U,,,,,N,N,N-TYPE,95,_X7U,,,1133,tm46,7/2/2007 14:37:43:402,N,,0,_5U,,,217
_5V,,,,,N,N,N-TYPE,96,_X7V,,,1134,tm46,7/2/2007 14:37:43:402,N,,0,_5V,,,218
_5W,,,,,N,N,N-TYPE,97,_X7W,,,1135,tm46,7/2/2007 14:37:43:402,N,,0,_5W,,,219
_5X,,,,,N,N,N-TYPE,98,_X7X,,,1136,tm46,7/2/2007 14:37:43:402,N,,0,_5X,,,220
_5Y,,,,,N,N,N-TYPE,99,_X7Y,,,1137,tm46,7/2/2007 14:37:43:402,N,,0,_5Y,,,221
_5Z,,,,,N,N,N-TYPE,100,_X7Z,,,1138,tm46,7/2/2007 14:37:43:402,N,,0,_5Z,,,222
_6,,,,,N,N,T-TYPE,74,_X7_,,,1149,tm46,7/2/2007 14:37:43:402,N,,0,_6,,,223
_60,,,,,N,N,T-TYPE,101,_X70,,,1176,tm46,7/2/2007 14:37:43:402,N,,0,_60,,,224
_61,,,,,N,N,T-TYPE,102,_X71,,,1177,tm46,7/2/2007 14:37:43:402,N,,0,_61,,,225
_62,,,,,N,N,T-TYPE,103,_X72,,,1178,tm46,7/2/2007 14:37:43:402,N,,0,_62,,,226
_63,,,,,N,N,T-TYPE,104,_X73,,,1179,tm46,7/2/2007 14:37:43:402,N,,0,_63,,,227
_64,,,,,N,N,T-TYPE,105,_X74,,,1180,tm46,7/2/2007 14:37:43:402,N,,0,_64,,,228
_65,,,,,N,N,T-TYPE,106,_X75,,,1181,tm46,7/2/2007 14:37:43:402,N,,0,_65,,,229
_66,,,,,N,N,T-TYPE,107,_X76,,,1182,tm46,7/2/2007 14:37:43:402,N,,0,_66,,,230
_67,,,,,N,N,T-TYPE,108,_X77,,,1183,tm46,7/2/2007 14:37:43:402,N,,0,_67,,,231
_68,,,,,N,N,T-TYPE,109,_X78,,,1184,tm46,7/2/2007 14:37:43:402,N,,0,_68,,,232
_69,,,,,N,N,T-TYPE,110,_X79,,,1185,tm46,7/2/2007 14:37:43:402,N,,0,_69,,,233
_6A,,,,,N,N,T-TYPE,75,_X7A,,,1150,tm46,7/2/2007 14:37:43:402,N,,0,_6A,,,234
_6B,,,,,N,N,T-TYPE,76,_X7B,,,1151,tm46,7/2/2007 14:37:43:402,N,,0,_6B,,,235
_6C,,,,,N,N,T-TYPE,77,_X7C,,,1152,tm46,7/2/2007 14:37:43:402,N,,0,_6C,,,236
_6D,,,,,N,N,T-TYPE,78,_X7D,,,1153,tm46,7/2/2007 14:37:43:402,N,,0,_6D,,,237
_6E,,,,,N,N,T-TYPE,79,_X7E,,,1154,tm46,7/2/2007 14:37:43:402,N,,0,_6E,,,238
_6F,,,,,N,N,T-TYPE,80,_X7F,,,1155,tm46,7/2/2007 14:37:43:402,N,,0,_6F,,,239
_6G,,,,,N,N,T-TYPE,81,_X7G,,,1156,tm46,7/2/2007 14:37:43:402,N,,0,_6G,,,240
_6H,,,,,N,N,T-TYPE,82,_X7H,,,1157,tm46,7/2/2007 14:37:43:402,N,,0,_6H,,,241
_6I,,,,,N,N,T-TYPE,83,_X7I,,,1158,tm46,7/2/2007 14:37:43:402,N,,0,_6I,,,242
_6J,,,,,N,N,T-TYPE,84,_X7J,,,1159,tm46,7/2/2007 14:37:43:402,N,,0,_6J,,,243
_6K,,,,,N,N,T-TYPE,85,_X7K,,,1160,tm46,7/2/2007 14:37:43:402,N,,0,_6K,,,244
_6L,,,,,N,N,T-TYPE,86,_X7L,,,1161,tm46,7/2/2007 14:37:43:402,N,,0,_6L,,,245
_6M,,,,,N,N,T-TYPE,87,_X7M,,,1162,tm46,7/2/2007 14:37:43:402,N,,0,_6M,,,246
_6N,,,,,N,N,T-TYPE,88,_X7N,,,1163,tm46,7/2/2007 14:37:43:402,N,,0,_6N,,,247
_6O,,,,,N,N,T-TYPE,89,_X7O,,,1164,tm46,7/2/2007 14:37:43:402,N,,0,_6O,,,248
_6P,,,,,N,N,T-TYPE,90,_X7P,,,1165,tm46,7/2/2007 14:37:43:402,N,,0,_6P,,,249
_6Q,,,,,N,N,T-TYPE,91,_X7Q,,,1166,tm46,7/2/2007 14:37:43:402,N,,0,_6Q,,,250
_6R,,,,,N,N,T-TYPE,92,_X7R,,,1167,tm46,7/2/2007 14:37:43:402,N,,0,_6R,,,251
_6S,,,,,N,N,T-TYPE,93,_X7S,,,1168,tm46,7/2/2007 14:37:43:402,N,,0,_6S,,,252
_6T,,,,,N,N,T-TYPE,94,_X7T,,,1169,tm46,7/2/2007 14:37:43:402,N,,0,_6T,,,253
_6U,,,,,N,N,T-TYPE,95,_X7U,,,1170,tm46,7/2/2007 14:37:43:402,N,,0,_6U,,,254
_6V,,,,,N,N,T-TYPE,96,_X7V,,,1171,tm46,7/2/2007 14:37:43:402,N,,0,_6V,,,255
_6W,,,,,N,N,T-TYPE,97,_X7W,,,1172,tm46,7/2/2007 14:37:43:402,N,,0,_6W,,,256
_6X,,,,,N,N,T-TYPE,98,_X7X,,,1173,tm46,7/2/2007 14:37:43:402,N,,0,_6X,,,257
_6Y,,,,,N,N,T-TYPE,99,_X7Y,,,1174,tm46,7/2/2007 14:37:43:402,N,,0,_6Y,,,258
_6Z,,,,,N,N,T-TYPE,100,_X7Z,,,1175,tm46,7/2/2007 14:37:43:402,N,,0,_6Z,,,259
_7,,,,,N,N,W-TYPE,74,_X7_,,,1186,tm46,7/2/2007 14:37:43:402,N,,0,_7,,,260
_70,,,,,N,N,W-TYPE,101,_X70,,,1213,tm46,7/2/2007 14:37:43:417,N,,0,_70,,,261
_71,,,,,N,N,W-TYPE,102,_X71,,,1214,tm46,7/2/2007 14:37:43:417,N,,0,_71,,,262
_72,,,,,N,N,W-TYPE,103,_X72,,,1215,tm46,7/2/2007 14:37:43:417,N,,0,_72,,,263
_73,,,,,N,N,W-TYPE,104,_X73,,,1216,tm46,7/2/2007 14:37:43:417,N,,0,_73,,,264
_74,,,,,N,N,W-TYPE,105,_X74,,,1217,tm46,7/2/2007 14:37:43:417,N,,0,_74,,,265
_75,,,,,N,N,W-TYPE,106,_X75,,,1218,tm46,7/2/2007 14:37:43:417,N,,0,_75,,,266
_76,,,,,N,N,W-TYPE,107,_X76,,,1219,tm46,7/2/2007 14:37:43:417,N,,0,_76,,,267
_77,,,,,N,N,W-TYPE,108,_X77,,,1220,tm46,7/2/2007 14:37:43:417,N,,0,_77,,,268
_78,,,,,N,N,W-TYPE,109,_X78,,,1221,tm46,7/2/2007 14:37:43:417,N,,0,_78,,,269
_79,,,,,N,N,W-TYPE,110,_X79,,,1222,tm46,7/2/2007 14:37:43:417,N,,0,_79,,,270
_7A,,,,,N,N,W-TYPE,75,_X7A,,,1187,tm46,7/2/2007 14:37:43:402,N,,0,_7A,,,271
_7B,,,,,N,N,W-TYPE,76,_X7B,,,1188,tm46,7/2/2007 14:37:43:402,N,,0,_7B,,,272
_7C,,,,,N,N,W-TYPE,77,_X7C,,,1189,tm46,7/2/2007 14:37:43:402,N,,0,_7C,,,273
_7D,,,,,N,N,W-TYPE,78,_X7D,,,1190,tm46,7/2/2007 14:37:43:402,N,,0,_7D,,,274
_7E,,,,,N,N,W-TYPE,79,_X7E,,,1191,tm46,7/2/2007 14:37:43:402,N,,0,_7E,,,275
_7F,,,,,N,N,W-TYPE,80,_X7F,,,1192,tm46,7/2/2007 14:37:43:402,N,,0,_7F,,,276
_7G,,,,,N,N,W-TYPE,81,_X7G,,,1193,tm46,7/2/2007 14:37:43:402,N,,0,_7G,,,277
_7H,,,,,N,N,W-TYPE,82,_X7H,,,1194,tm46,7/2/2007 14:37:43:402,N,,0,_7H,,,278
_7I,,,,,N,N,W-TYPE,83,_X7I,,,1195,tm46,7/2/2007 14:37:43:402,N,,0,_7I,,,279
_7J,,,,,N,N,W-TYPE,84,_X7J,,,1196,tm46,7/2/2007 14:37:43:402,N,,0,_7J,,,280
_7K,,,,,N,N,W-TYPE,85,_X7K,,,1197,tm46,7/2/2007 14:37:43:402,N,,0,_7K,,,281
_7L,,,,,N,N,W-TYPE,86,_X7L,,,1198,tm46,7/2/2007 14:37:43:402,N,,0,_7L,,,282
_7M,,,,,N,N,W-TYPE,87,_X7M,,,1199,tm46,7/2/2007 14:37:43:402,N,,0,_7M,,,283
_7N,,,,,N,N,W-TYPE,88,_X7N,,,1200,tm46,7/2/2007 14:37:43:402,N,,0,_7N,,,284
_7O,,,,,N,N,W-TYPE,89,_X7O,,,1201,tm46,7/2/2007 14:37:43:402,N,,0,_7O,,,285
_7P,,,,,N,N,W-TYPE,90,_X7P,,,1202,tm46,7/2/2007 14:37:43:402,N,,0,_7P,,,286
_7Q,,,,,N,N,W-TYPE,91,_X7Q,,,1203,tm46,7/2/2007 14:37:43:417,N,,0,_7Q,,,287
_7R,,,,,N,N,W-TYPE,92,_X7R,,,1204,tm46,7/2/2007 14:37:43:417,N,,0,_7R,,,288
_7S,,,,,N,N,W-TYPE,93,_X7S,,,1205,tm46,7/2/2007 14:37:43:417,N,,0,_7S,,,289
_7T,,,,,N,N,W-TYPE,94,_X7T,,,1206,tm46,7/2/2007 14:37:43:417,N,,0,_7T,,,290
_7U,,,,,N,N,W-TYPE,95,_X7U,,,1207,tm46,7/2/2007 14:37:43:417,N,,0,_7U,,,291
_7V,,,,,N,N,W-TYPE,96,_X7V,,,1208,tm46,7/2/2007 14:37:43:417,N,,0,_7V,,,292
_7W,,,,,N,N,W-TYPE,97,_X7W,,,1209,tm46,7/2/2007 14:37:43:417,N,,0,_7W,,,293
_7X,,,,,N,N,W-TYPE,98,_X7X,,,1210,tm46,7/2/2007 14:37:43:417,N,,0,_7X,,,294
_7Y,,,,,N,N,W-TYPE,99,_X7Y,,,1211,tm46,7/2/2007 14:37:43:417,N,,0,_7Y,,,295
_7Z,,,,,N,N,W-TYPE,100,_X7Z,,,1212,tm46,7/2/2007 14:37:43:417,N,,0,_7Z,,,296
_8,,,,,N,N,ADULT,111,_89_Q7,,,1223,tm46,7/2/2007 14:37:43:417,N,,0,_8,,,297
_80,,,,,N,N,J-TYPE,121,_89J0 ,,,1250,tm46,7/2/2007 14:37:43:417,N,,0,_80,,,298
_81,,,,,N,N,J-TYPE,122,_89K1 ,,,1251,tm46,7/2/2007 14:37:43:417,N,,0,_81,,,299
_82,,,,,N,N,J-TYPE,123,_89L2 ,,,1252,tm46,7/2/2007 14:37:43:417,N,,0,_82,,,300
_83,,,,,N,N,J-TYPE,124,_89M3 ,,,1253,tm46,7/2/2007 14:37:43:417,N,,0,_83,,,301
_84,,,,,N,N,J-TYPE,125,_89N4 ,,,1254,tm46,7/2/2007 14:37:43:417,N,,0,_84,,,302
_85,,,,,N,N,J-TYPE,126,_89O5 ,,,1255,tm46,7/2/2007 14:37:43:417,N,,0,_85,,,303
_86,,,,,N,N,J-TYPE,127,_89P6 ,,,1256,tm46,7/2/2007 14:37:43:417,N,,0,_86,,,304
_87,,,,,N,N,G-TYPE,111,_89_Q7,,,1257,tm46,7/2/2007 14:37:43:417,N,,0,_87,,,305
_88,,,,,N,N,G-TYPE,112,_89AR8,,,1258,tm46,7/2/2007 14:37:43:417,N,,0,_88,,,306
_89,,,,,N,N,G-TYPE,113,_89BS9,,,1259,tm46,7/2/2007 14:37:43:417,N,,0,_89,,,307
_8A,,,,,N,N,ADULT,112,_89AR8,,,1224,tm46,7/2/2007 14:37:43:417,N,,0,_8A,,,308
_8B,,,,,N,N,ADULT,113,_89BS9,,,1225,tm46,7/2/2007 14:37:43:417,N,,0,_8B,,,309
_8C,,,,,N,N,ADULT,114,_89CT ,,,1226,tm46,7/2/2007 14:37:43:417,N,,0,_8C,,,310
_8D,,,,,N,N,ADULT,115,_89DU ,,,1227,tm46,7/2/2007 14:37:43:417,N,,0,_8D,,,311
_8E,,,,,N,N,ADULT,116,_89EV ,,,1228,tm46,7/2/2007 14:37:43:417,N,,0,_8E,,,312
_8F,,,,,N,N,ADULT,117,_89FW ,,,1229,tm46,7/2/2007 14:37:43:417,N,,0,_8F,,,313
_8G,,,,,N,N,ADULT,118,_89GX ,,,1230,tm46,7/2/2007 14:37:43:417,N,,0,_8G,,,314
_8H,,,,,N,N,ADULT,119,_89HY ,,,1231,tm46,7/2/2007 14:37:43:417,N,,0,_8H,,,315
_8I,,,,,N,N,ADULT,120,_89IZ ,,,1232,tm46,7/2/2007 14:37:43:417,N,,0,_8I,,,316
_8J,,,,,N,N,ADULT,121,_89J0 ,,,1233,tm46,7/2/2007 14:37:43:417,N,,0,_8J,,,317
_8K,,,,,N,N,ADULT,122,_89K1 ,,,1234,tm46,7/2/2007 14:37:43:417,N,,0,_8K,,,318
_8L,,,,,N,N,ADULT,123,_89L2 ,,,1235,tm46,7/2/2007 14:37:43:417,N,,0,_8L,,,319
_8M,,,,,N,N,ADULT,124,_89M3 ,,,1236,tm46,7/2/2007 14:37:43:417,N,,0,_8M,,,320
_8N,,,,,N,N,ADULT,125,_89N4 ,,,1237,tm46,7/2/2007 14:37:43:417,N,,0,_8N,,,321
_8O,,,,,N,N,ADULT,126,_89O5 ,,,1238,tm46,7/2/2007 14:37:43:417,N,,0,_8O,,,322
_8P,,,,,N,N,ADULT,127,_89P6 ,,,1239,tm46,7/2/2007 14:37:43:417,N,,0,_8P,,,323
_8Q,,,,,N,N,J-TYPE,111,_89_Q7,,,1240,tm46,7/2/2007 14:37:43:417,N,,0,_8Q,,,324
_8R,,,,,N,N,J-TYPE,112,_89AR8,,,1241,tm46,7/2/2007 14:37:43:417,N,,0,_8R,,,325
_8S,,,,,N,N,J-TYPE,113,_89BS9,,,1242,tm46,7/2/2007 14:37:43:417,N,,0,_8S,,,326
_8T,,,,,N,N,J-TYPE,114,_89CT ,,,1243,tm46,7/2/2007 14:37:43:417,N,,0,_8T,,,327
_8U,,,,,N,N,J-TYPE,115,_89DU ,,,1244,tm46,7/2/2007 14:37:43:417,N,,0,_8U,,,328
_8V,,,,,N,N,J-TYPE,116,_89EV ,,,1245,tm46,7/2/2007 14:37:43:417,N,,0,_8V,,,329
_8W,,,,,N,N,J-TYPE,117,_89FW ,,,1246,tm46,7/2/2007 14:37:43:417,N,,0,_8W,,,330
_8X,,,,,N,N,J-TYPE,118,_89GX ,,,1247,tm46,7/2/2007 14:37:43:417,N,,0,_8X,,,331
_8Y,,,,,N,N,J-TYPE,119,_89HY ,,,1248,tm46,7/2/2007 14:37:43:417,N,,0,_8Y,,,332
