year,market,date_of_goal,revenue,ticket_category,plan_name,ticket_type,hcp_renewal_flag,year_market_target_atp
2025,Champ Series,1/5/25,1113.1428571428571,group,single_day,single_day,0,31.95
2025,Champ Series,1/6/25,267.42857142857144,non_internal,all_access,all_access,0,31.95
2025,Champ Series,1/6/25,1164,non_internal,single_day,single_day,0,31.95
2025,Champ Series,1/6/25,94.428571428571431,group,all_access,all_access,0,31.95
2025,Champ Series,1/6/25,1113.1428571428571,group,single_day,single_day,0,31.95
2025,Champ Series,1/7/25,635.14285714285711,non_internal,all_access,all_access,0,31.95
2025,Champ Series,1/7/25,2765.5714285714284,non_internal,single_day,single_day,0,31.95
2025,Champ Series,1/7/25,125.85714285714286,group,all_access,all_access,0,31.95
2025,Champ Series,1/7/25,1484.1428571428571,group,single_day,single_day,0,31.95
2025,Champ Series,1/8/25,635.14285714285711,non_internal,all_access,all_access,0,31.95
2025,Champ Series,1/8/25,2765.5714285714284,non_internal,single_day,single_day,0,31.95
2025,Champ Series,1/8/25,125.85714285714286,group,all_access,all_access,0,31.95
2025,Champ Series,1/8/25,1484.1428571428571,group,single_day,single_day,0,31.95
2025,Champ Series,1/9/25,635.14285714285711,non_internal,all_access,all_access,0,31.95
2025,Champ Series,1/9/25,2765.5714285714284,non_internal,single_day,single_day,0,31.95
2025,Champ Series,1/9/25,125.85714285714286,group,all_access,all_access,0,31.95
2025,Champ Series,1/9/25,1484.1428571428571,group,single_day,single_day,0,31.95
2025,Champ Series,1/10/25,635.14285714285711,non_internal,all_access,all_access,0,31.95
2025,Champ Series,1/10/25,2765.5714285714284,non_internal,single_day,single_day,0,31.95
2025,Champ Series,1/10/25,125.85714285714286,group,all_access,all_access,0,31.95
2025,Champ Series,1/10/25,1484.1428571428571,group,single_day,single_day,0,31.95
2025,Champ Series,1/11/25,635.14285714285711,non_internal,all_access,all_access,0,31.95
2025,Champ Series,1/11/25,2765.5714285714284,non_internal,single_day,single_day,0,31.95
2025,Champ Series,1/11/25,125.85714285714286,group,all_access,all_access,0,31.95
2025,Champ Series,1/11/25,1484.1428571428571,group,single_day,single_day,0,31.95
2025,Champ Series,1/12/25,635.14285714285711,non_internal,all_access,all_access,0,31.95
2025,Champ Series,1/12/25,2765.5714285714284,non_internal,single_day,single_day,0,31.95
2025,Champ Series,1/12/25,125.85714285714286,group,all_access,all_access,0,31.95
2025,Champ Series,1/12/25,1484.1428571428571,group,single_day,single_day,0,31.95
2025,Champ Series,1/13/25,635.14285714285711,non_internal,all_access,all_access,0,31.95
2025,Champ Series,1/13/25,2765.5714285714284,non_internal,single_day,single_day,0,31.95
2025,Champ Series,1/13/25,125.85714285714286,group,all_access,all_access,0,31.95
2025,Champ Series,1/13/25,1484.1428571428571,group,single_day,single_day,0,31.95
2025,Champ Series,1/14/25,555.14285714285711,non_internal,all_access,all_access,0,31.95
2025,Champ Series,1/14/25,2417.1428571428573,non_internal,single_day,single_day,0,31.95
2025,Champ Series,1/14/25,157.28571428571428,group,all_access,all_access,0,31.95
2025,Champ Series,1/14/25,1855.1428571428571,group,single_day,single_day,0,31.95
2025,Champ Series,1/15/25,555.14285714285711,non_internal,all_access,all_access,0,31.95
2025,Champ Series,1/15/25,2417.1428571428573,non_internal,single_day,single_day,0,31.95
2025,Champ Series,1/15/25,157.28571428571428,group,all_access,all_access,0,31.95
2025,Champ Series,1/15/25,1855.1428571428571,group,single_day,single_day,0,31.95
2025,Champ Series,1/16/25,555.14285714285711,non_internal,all_access,all_access,0,31.95
2025,Champ Series,1/16/25,2417.1428571428573,non_internal,single_day,single_day,0,31.95
2025,Champ Series,1/16/25,157.28571428571428,group,all_access,all_access,0,31.95
2025,Champ Series,1/16/25,1855.1428571428571,group,single_day,single_day,0,31.95
2025,Champ Series,1/17/25,555.14285714285711,non_internal,all_access,all_access,0,31.95
2025,Champ Series,1/17/25,2417.1428571428573,non_internal,single_day,single_day,0,31.95
2025,Champ Series,1/17/25,157.28571428571428,group,all_access,all_access,0,31.95
2025,Champ Series,1/17/25,1855.1428571428571,group,single_day,single_day,0,31.95
2025,Champ Series,1/18/25,555.14285714285711,non_internal,all_access,all_access,0,31.95
2025,Champ Series,1/18/25,2417.1428571428573,non_internal,single_day,single_day,0,31.95
2025,Champ Series,1/18/25,157.28571428571428,group,all_access,all_access,0,31.95
2025,Champ Series,1/18/25,1855.1428571428571,group,single_day,single_day,0,31.95
2025,Champ Series,1/19/25,555.14285714285711,non_internal,all_access,all_access,0,31.95
2025,Champ Series,1/19/25,2417.1428571428573,non_internal,single_day,single_day,0,31.95
2025,Champ Series,1/19/25,157.28571428571428,group,all_access,all_access,0,31.95
2025,Champ Series,1/19/25,1855.1428571428571,group,single_day,single_day,0,31.95
2025,Champ Series,1/20/25,555.14285714285711,non_internal,all_access,all_access,0,31.95
2025,Champ Series,1/20/25,2417.1428571428573,non_internal,single_day,single_day,0,31.95
2025,Champ Series,1/20/25,157.28571428571428,group,all_access,all_access,0,31.95
2025,Champ Series,1/20/25,1855.1428571428571,group,single_day,single_day,0,31.95
2025,Champ Series,1/20/25,4000,suite,single_day,single_day,0,31.95
2025,Champ Series,1/20/25,583,premium_add_on,single_day,single_day,0,31.95
2025,Champ Series,1/21/25,2857.1428571428573,suite,single_day,single_day,0,31.95
2025,Champ Series,1/21/25,689.71428571428567,non_internal,all_access,all_access,0,31.95
2025,Champ Series,1/21/25,3002.7142857142858,non_internal,single_day,single_day,0,31.95
2025,Champ Series,1/21/25,125.85714285714286,group,all_access,all_access,0,31.95
2025,Champ Series,1/21/25,416.14285714285717,premium_add_on,single_day,single_day,0,31.95
2025,Champ Series,1/21/25,1484.2857142857142,group,single_day,single_day,0,31.95
2025,Champ Series,1/22/25,2857.1428571428573,suite,single_day,single_day,0,31.95
2025,Champ Series,1/22/25,689.71428571428567,non_internal,all_access,all_access,0,31.95
