market,event_name,plan_event,num_events_in_plan,price_level,price_level_description,capacity,base_price,paid_tix_goal,HCP_renew_tix_goal,HCP_new_tix_goal,evt_FP_tix_goal,evt_group_tix_goal,HCP_goal,evt_goal,seat_map_PL_image
13. Philadelphia Subaru Park,250830,NA,1,F,Price Level 6,1842,$72.00 ,921,0,0,322,599,0,921,
13. Philadelphia Subaru Park,250830,NA,1,G,Price Level 7,4337,$55.00 ,1952,0,0,683,1269,0,1952,
13. Philadelphia Subaru Park,250830,NA,1,H,Price Level 8,3615,$35.00 ,903,0,0,90,813,0,903,
13. Philadelphia Subaru Park,250830,NA,1,I,Price Level 9,3159,$25.00 ,790,0,0,395,395,0,790,
13. Philadelphia Subaru Park,250830,NA,1,J,Price Level 10,1858,$0.00 ,0,0,0,0,0,0,0,
14. SI Stadium,250914,NA,1,A,Price Level 1,654,$75.00 ,360,0,0,180,180,0,360,
14. SI Stadium,250914,NA,1,B,Price Level 2,1475,$85.00 ,812,0,0,406,406,0,812,
14. SI Stadium,250914,NA,1,C,Price Level 3,252,$62.00 ,151,0,0,60,91,0,151,
14. SI Stadium,250914,NA,1,D,Price Level 4,385,$55.00 ,231,0,0,92,139,0,231,
14. SI Stadium,250914,NA,1,E,Price Level 5,1280,$52.00 ,896,0,0,358,538,0,896,
14. SI Stadium,250914,NA,1,F,Price Level 6,689,$49.00 ,482,0,0,193,289,0,482,
14. SI Stadium,250914,NA,1,G,Price Level 7,1502,$45.00 ,1052,0,0,421,631,0,1052,
14. SI Stadium,250914,NA,1,H,Price Level 8,1375,$0.00 ,0,0,0,0,0,0,0,
14. SI Stadium,250914,NA,1,I,Price Level 9,2741,$39.00 ,1918,0,0,767,1151,0,1918,
14. SI Stadium,250914,NA,1,J,Price Level 10,1021,$25.00 ,663,0,0,265,398,0,663,
