event_name,team,event_date,event_time,season_name,plan,total_events,game_number,default_ticket_template_name,returnable,enabled,onsale_datetime,offsale_datetime,oss_onsale_datetime,oss_offsale_datetime,fror_seat_list_name,fror_min_seats,fror_max_seats,fror_assignment_type,fror_alert_text,fror_onsale_datetime,fror_offsale_datetime,plan_abv,barcode_status,barcode_event_slots,barcode_max_seats_per_row,event_line1,event_line2,event_line3,event_line4,event_line5,event_line6,event_line7,event_line8,event_line9,event_line10,inet_line1,inet_line2,inet_line3,inet_line4,inet_line5,inet_line6,inet_line7,inet_line8,inet_line9,inet_line10,auto_add_membership_name1,auto_add_membership_name2,auto_add_membership_name3,membership_reqd,pc_membership_reqd,ledger_code
250212,00. Champ Series,2/12/2025,19:00:00,25.00 Champ Series - TSJ,N,1,2,Ticket,N,N,,,,,,,,S,,,,E,Y,1,32,2025 LEXUS CHAMPIONSHIP SERIES,PLL CANNONS VS ARCHERS,WLL GUARD VS PALMS,,The St. James,"Wednesday, February 12, 2025 7 & 9 PM",,,,1500617AC481300D,2025 LEXUS CHAMPIONSHIP SERIES,PLL CANNONS VS ARCHERS,WLL GUARD VS PALMS,,The St. James,"Wednesday, February 12, 2025 7 & 9 PM",,,,,2025,,,N,N,GEN
250213,00. Champ Series,2/13/2025,19:00:00,25.00 Champ Series - TSJ,N,1,3,Ticket,N,N,,,,,,,,S,,,,E,Y,1,32,2025 LEXUS CHAMPIONSHIP SERIES,PLL WHIPSNAKES VS CANNONS,WLL CHARM VS GUARD,,The St. James,"Thursday, February 13, 2025 7 & 9 PM",,,,1500617AC4823013,2025 LEXUS CHAMPIONSHIP SERIES,PLL WHIPSNAKES VS CANNONS,WLL CHARM VS GUARD,,The St. James,"Thursday, February 13, 2025 7 & 9 PM",,,,,2025,,,N,N,GEN
250214,00. Champ Series,2/14/2025,18:00:00,25.00 Champ Series - TSJ,N,1,4,Ticket,N,N,,,,,,,,S,,,,E,Y,1,32,2025 LEXUS CHAMPIONSHIP SERIES,WLL PALMS VS CHARGING,PLL ATLAS VS ARCHERS,,The St. James,"Friday, February 14, 2025 6 & 8 PM",,,,1500617AC4843030,2025 LEXUS CHAMPIONSHIP SERIES,WLL PALMS VS CHARGING,PLL ATLAS VS ARCHERS,,The St. James,"Friday, February 14, 2025 6 & 8 PM",,,,,2025,,,N,N,GEN
250215A,00. Champ Series,2/15/2025,12:30:00,25.00 Champ Series - TSJ,N,1,5,Ticket,N,N,,,,,,,,S,,,,E,Y,1,32,2025 LEXUS CHAMPIONSHIP SERIES,WLL Charm vs Palms,WLL Charging vs Guard,,The St. James,"Saturday, February 15, 2025 - 12:30 PM & 2:30 PM",,,,1500617AC486303F,2025 LEXUS CHAMPIONSHIP SERIES,WLL Charm vs Palms,WLL Charging vs Guard,,The St. James,"Saturday, February 15, 2025 - 12:30 PM & 2:30 PM",,,,,2025,,,N,N,GEN
250215E,00. Champ Series,2/15/2025,18:00:00,25.00 Champ Series - TSJ,N,1,6,Ticket,N,N,,,,,,,,S,,,,E,Y,1,32,2025 LEXUS CHAMPIONSHIP SERIES,PLL ATLAS VS CANNONS,PLL WHIPSNAKES VS ARCHERS,,The St. James,"Saturday, February 15, 2025 6 PM & 8 PM",,,,1500617AC488307F,2025 LEXUS CHAMPIONSHIP SERIES,PLL ATLAS VS CANNONS,PLL WHIPSNAKES VS ARCHERS,,The St. James,"Saturday, February 15, 2025 6 PM & 8 PM",,,,,2025,,,N,N,GEN
250216A,00. Champ Series,2/16/2025,10:30:00,25.00 Champ Series - TSJ,N,1,7,Ticket,N,N,,,,,,,,S,,,,E,Y,1,32,2025 LEXUS CHAMPIONSHIP SERIES,WLL SEMIFINALS,,,The St. James,"Sunday, February 16, 2025 10:30 AM",,,,1500617AC4893081,2025 LEXUS CHAMPIONSHIP SERIES,WLL SEMIFINALS,Game 1: TBD,,The St. James,"Sunday, February 16, 2025 10:30 AM",,,,,2025,,,N,N,GEN
250216E,00. Champ Series,2/16/2025,18:00:00,25.00 Champ Series - TSJ,N,1,8,Ticket,N,N,,,,,,,,S,,,,E,Y,1,32,2025 LEXUS CHAMPIONSHIP SERIES,PLL Semifinals,,,The St. James,"Sunday, February 16, 2025 6:00 PM",,,,1500617AC48B3085,2025 LEXUS CHAMPIONSHIP SERIES,PLL Semifinals,Game 1: TBD,,The St. James,"Sunday, February 16, 2025 6:00 PM",,,,,2025,,,N,N,GEN
250217,00. Champ Series,2/17/2025,11:00:00,25.00 Champ Series - TSJ,N,1,9,Ticket,N,N,,,,,,,,S,,,,E,Y,1,32,2025 LEXUS CHAMPIONSHIP SERIES,,WLL Championship 11 AM,PLL Championship 1:30 PM,The St. James,"Monday, February 17, 2025",,,,1500617AC48D309C,2025 LEXUS CHAMPIONSHIP SERIES,Finals,WLL Championship 11 AM,PLL Championship 1:30 PM,The St. James,"Monday, February 17, 2025",,,,,2025,,,N,N,GEN
250212FP,00. Champ Series,2/12/2025,19:00:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,N,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250213FP,00. Champ Series,2/13/2025,19:00:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,N,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
250214FP,00. Champ Series,2/14/2025,18:00:00,25.00PE Champ Series Premium Experiences,N,1,,,Y,N,,,,,,,,S,,,,EXP,Y,1,50,,,,,,,,,,,,,,,,,,,,,,,,N,N,GEN
