event_name,market,event_date,event_time,season_name,plan,total_events,plan_abv
25216MGA,00. Champ Series,2/16/25,10:30:00,25.00PE Champ Series Premium Experiences,N,1,E
25216MGB,00. Champ Series,2/16/25,18:00:00,25.00PE Champ Series Premium Experiences,N,1,E
25CSFLEX,00. Champ Series,2/11/25,23:59:00,25.00 Champ Series - TSJ,Y,9,PAP
250808HC,11. Boston,8/8/25,20:00:00,25.11UP Boston Upsell,N,1,EXP
250212D,2025 Champ Series Suites,2/12/25,19:00:00,25.00SD Champ Series Suite Deposits,N,1,DEP
250213D,2025 Champ Series Suites,2/13/25,19:00:00,25.00SD Champ Series Suite Deposits,N,1,DEP
250809HC,11. Boston,8/9/25,20:00:00,25.11UP Boston Upsell,N,1,EXP
25CHMG1,07. Chicago,7/11/25,19:00:00,25.07UP Chicago Upsell,N,1,EXP
25CHMG2,07. Chicago,7/12/25,19:00:00,25.07UP Chicago Upsell,N,1,EXP
250216ED,2025 Champ Series Suites,2/16/25,18:00:00,25.00SD Champ Series Suite Deposits,N,1,DEP
250530H,01. Albany,5/30/25,18:00:00,25.01UP Albany Upsell,N,1,EXP
TESTPLAN,TEST,12/31/25,23:59:00,TEST The St. James,Y,5,FS
TESTEVT1,TEST,12/1/25,20:00:00,TEST The St. James,N,1,E
TESTEVT2,TEST,12/2/25,20:00:00,TEST The St. James,N,1,E
TESTEVT3,TEST,12/3/25,20:00:00,TEST The St. James,N,1,E
TESTEVT4,TEST,12/4/25,20:00:00,TEST The St. James,N,1,E
TESTEVT5,TEST,12/5/25,20:00:00,TEST The St. James,N,1,E
25AHP,01. Albany,5/31/25,23:59:00,25.01 Albany Season,Y,3,FS
250531A,01. Albany,5/31/25,13:00:00,25.01 Albany Season,N,1,E
250531E,01. Albany,5/31/25,19:00:00,25.01 Albany Season,N,1,E
250530,01. Albany,5/30/25,18:00:00,25.01 Albany Season,N,1,E
25CHP,02. Charlotte,6/6/25,23:59:00,25.02 Charlotte Season,Y,3,FS
250606,02. Charlotte,6/6/25,18:00:00,25.02 Charlotte Season,N,1,E
250607A,02. Charlotte,6/7/25,13:00:00,25.02 Charlotte Season,N,1,E
25PHP,03. Philadelphia,6/13/25,23:59:00,25.03 Philadelphia Season,Y,3,FS
250613,03. Philadelphia,6/13/25,18:00:00,25.03 Philadelphia Season,N,1,E
250614A,03. Philadelphia,6/14/25,13:00:00,25.03 Philadelphia Season,N,1,E
250614E,03. Philadelphia,6/14/25,19:00:00,25.03 Philadelphia Season,N,1,E
25BHP,04. Baltimore,6/20/25,23:59:00,25.04 Baltimore Season,Y,2,FS
250621,04. Baltimore,6/21/25,16:00:00,25.04 Baltimore Season,N,1,E
250622,04. Baltimore,6/22/25,12:00:00,25.04 Baltimore Season,N,1,E
25SDHP,05. San Diego,6/27/25,23:59:00,25.05 San Diego Season,Y,2,FS
250627,05. San Diego,6/27/25,18:00:00,25.05 San Diego Season,N,1,E
250628,05. San Diego,6/28/25,15:00:00,25.05 San Diego Season,N,1,E
25SLHP,09. Salt Lake City,8/1/25,23:59:00,25.09 Salt Lake City Season,Y,2,FS
25BSHP,11. Boston,8/8/25,23:59:00,25.11 Boston Season,Y,3,FS
250704,06. Kansas City,7/4/25,17:15:00,25.06 Kansas City ASG,N,1,E
250705,06. Kansas City,7/5/25,12:00:00,25.06 Kansas City ASG,N,1,E
250823PK,Parking,8/23/25,17:00:00,25.12PK Minnesota Parking,N,1,PRK
25CHHC1,07. Chicago,7/11/25,19:00:00,25.07UP Chicago Upsell,N,1,EXP
25CHHC2,07. Chicago,7/12/25,19:00:00,25.07UP Chicago Upsell,N,1,EXP
24BALDUE,Balance Due,12/31/24,20:00:00,2024 Season Balance Due,N,1,SPE
250705PK,Kansas City Parking,7/5/25,12:00:00,25.06PK Kansas City ASG Parking,N,1,E
TSTPASS,TEST,10/3/25,23:59:00,TEST - Baltimore,Y,2,FS
TSTDAY1,TEST,10/3/25,20:00:00,TEST - Baltimore,N,1,E
TSTDAY2,TEST,10/4/25,20:00:00,TEST - Baltimore,N,1,E
TSTPLUS,TEST,12/4/25,20:00:00,TEST GA Season,N,1,PSL
TSTVIP,TEST,12/4/25,20:00:00,TEST GA Season,N,1,PSL
TSTPRO,TEST,12/4/25,20:00:00,TEST GA Season,N,1,PSL
250607E,02. Charlotte,6/7/25,19:00:00,25.02 Charlotte Season,N,1,E
250725,09. Salt Lake City,7/25/25,18:00:00,25.09 Salt Lake City Season,N,1,E
250726,09. Salt Lake City,7/26/25,16:30:00,25.09 Salt Lake City Season,N,1,E
250808,11. Boston,8/8/25,18:30:00,25.11 Boston Season,N,1,E
250809A,11. Boston,8/9/25,13:00:00,25.11 Boston Season,N,1,E
250809E,11. Boston,8/9/25,19:00:00,25.11 Boston Season,N,1,E
250823,12. Minneapolis,8/23/25,17:00:00,25.12 Minnesota Season,N,1,E
D250530,01. Albany,5/30/25,18:00:00,2025 Deposit Events,N,1,DEP
D250531A,01. Albany,5/31/25,13:00:00,2025 Deposit Events,N,1,DEP
D250531E,01. Albany,5/31/25,19:00:00,2025 Deposit Events,N,1,DEP
D250606,02. Charlotte,6/6/25,18:00:00,2025 Deposit Events,N,1,DEP
D250607A,02. Charlotte,6/7/25,13:00:00,2025 Deposit Events,N,1,DEP
D250607E,02. Charlotte,6/7/25,19:00:00,2025 Deposit Events,N,1,DEP
D250613,03. Philadelphia,6/13/25,18:00:00,2025 Deposit Events,N,1,DEP
D250614A,03. Philadelphia,6/14/25,13:00:00,2025 Deposit Events,N,1,DEP
D250614E,03. Philadelphia,6/14/25,19:00:00,2025 Deposit Events,N,1,DEP
D250627,05. San Diego,6/27/25,18:00:00,2025 Deposit Events,N,1,DEP
D250628,05. San Diego,6/28/25,15:00:00,2025 Deposit Events,N,1,DEP
D250725,09. Salt Lake City,7/25/25,18:00:00,2025 Deposit Events,N,1,DEP
D250726,09. Salt Lake City,7/26/25,16:30:00,2025 Deposit Events,N,1,DEP
D250808,11. Boston,8/8/25,18:30:00,2025 Deposit Events,N,1,DEP
D250809A,11. Boston,8/9/25,13:00:00,2025 Deposit Events,N,1,DEP
D250809E,11. Boston,8/9/25,19:00:00,2025 Deposit Events,N,1,DEP
D250823,12. Minneapolis,8/23/25,17:00:00,2025 Deposit Events,N,1,DEP
25APLUS,01. Albany,5/30/25,23:00:00,2025 Homecoming Pass Upgrades,N,1,EXP
25AVIP,01. Albany,5/30/25,23:00:00,2025 Homecoming Pass Upgrades,N,1,EXP
25CPLUS,02. Charlotte,6/6/25,23:00:00,2025 Homecoming Pass Upgrades,N,1,EXP
25CVIP,02. Charlotte,6/6/25,23:00:00,2025 Homecoming Pass Upgrades,N,1,EXP
25PPLUS,03. Philadelphia,6/13/25,23:00:00,2025 Homecoming Pass Upgrades,N,1,EXP
25PVIP,03. Philadelphia,6/13/25,23:00:00,2025 Homecoming Pass Upgrades,N,1,EXP
25BPLUS,04. Baltimore,6/21/25,23:00:00,2025 Homecoming Pass Upgrades,N,1,EXP
25BVIP,04. Baltimore,6/21/25,23:00:00,2025 Homecoming Pass Upgrades,N,1,EXP
25SDPLUS,05. San Diego,6/27/25,23:00:00,2025 Homecoming Pass Upgrades,N,1,EXP
25SDVIP,05. San Diego,6/27/25,23:00:00,2025 Homecoming Pass Upgrades,N,1,EXP
25SLPLUS,09. Salt Lake City,7/25/25,23:00:00,2025 Homecoming Pass Upgrades,N,1,EXP
25SLVIP,09. Salt Lake City,7/25/25,23:00:00,2025 Homecoming Pass Upgrades,N,1,EXP
25BSPLUS,11. Boston,8/8/25,23:00:00,2025 Homecoming Pass Upgrades,N,1,EXP
25BSVIP,11. Boston,8/8/25,23:00:00,2025 Homecoming Pass Upgrades,N,1,EXP
250704PK,Kansas City Parking,7/4/25,17:15:00,25.06PK Kansas City ASG Parking,N,1,E
D250711,07. Chicago,7/11/25,18:00:00,2025 Deposit Events,N,1,DEP
D250712,07. Chicago,7/12/25,18:00:00,2025 Deposit Events,N,1,DEP
D250621,04. Baltimore,6/21/25,16:00:00,2025 Deposit Events,N,1,DEP
D250622,04. Baltimore,6/22/25,12:00:00,2025 Deposit Events,N,1,DEP
D250704,06. Kansas City,7/4/25,17:30:00,2025 Deposit Events,N,1,DEP
D250705,06. Kansas City,7/5/25,12:00:00,2025 Deposit Events,N,1,DEP
D250718,08. Fairfield,7/18/25,18:30:00,2025 Deposit Events,N,1,DEP
D250719A,08. Fairfield,7/19/25,15:00:00,2025 Deposit Events,N,1,DEP
D250719E,08. Fairfield,7/19/25,20:00:00,2025 Deposit Events,N,1,DEP
D250801,10. Denver,8/1/25,18:00:00,2025 Deposit Events,N,1,DEP
D250802A,10. Denver,8/2/25,11:00:00,2025 Deposit Events,N,1,DEP
D250802E,10. Denver,8/2/25,18:00:00,2025 Deposit Events,N,1,DEP
D250901,13. Subaru Park,9/1/25,16:00:00,2025 Deposit Events,N,1,DEP
D250914,14. Championship,9/14/25,12:30:00,2025 Deposit Events,N,1,DEP
D250211,00. Champ Series,2/11/25,19:00:00,2025 Deposit Events,N,1,DEP
D250212,00. Champ Series,2/12/25,19:00:00,2025 Deposit Events,N,1,DEP
D250213,00. Champ Series,2/13/25,19:00:00,2025 Deposit Events,N,1,DEP
D250214,00. Champ Series,2/14/25,18:00:00,2025 Deposit Events,N,1,DEP
D250215A,00. Champ Series,2/15/25,12:30:00,2025 Deposit Events,N,1,DEP
D250215E,00. Champ Series,2/15/25,18:00:00,2025 Deposit Events,N,1,DEP
D250216A,00. Champ Series,2/16/25,10:30:00,2025 Deposit Events,N,1,DEP
D250216E,00. Champ Series,2/16/25,18:00:00,2025 Deposit Events,N,1,DEP
